window_id,year_min,year_max,n_obs,n_firms,n_managers,variance,cov_mm_2step,cov_ff_2step,cov_mm_4step,cov_ff_4step,n_edges_mm_2step,n_edges_ff_2step,n_edges_mm_4step,n_edges_ff_4step
1,1992,1994,135132,49756,62380,3.15621,2.15905,2.54129,2.08129,2.51537,110702,165166,94569,152920
2,1995,1997,196097,68609,83772,3.26264,2.29806,2.72264,2.23549,2.70339,179107,247250,160604,233597
3,1998,2000,257153,83322,102093,3.13601,2.21434,2.6407,2.15113,2.61652,254976,343176,235626,330522
4,2001,2003,295971,94804,114782,3.10814,2.17986,2.58776,2.1197,2.55505,300826,403619,281710,390527
5,2004,2006,330150,103239,125744,3.11823,2.17098,2.6054,2.11051,2.57194,345048,462171,324984,449448
6,2007,2009,353099,110562,135113,3.18596,2.13605,2.63236,2.07473,2.59817,377937,499865,355241,485556
7,2010,2012,369360,117507,141436,3.48003,2.30558,2.91215,2.24481,2.87743,407786,517238,382182,500117
8,2013,2015,391801,120126,141178,3.61492,2.3612,3.01103,2.29171,2.96817,469886,556985,450087,544194
9,2016,2018,397286,119669,140152,3.46939,2.31796,2.94755,2.26008,2.90764,491629,569766,474753,559894
10,2019,2021,395163,117224,137158,3.46176,2.30408,2.95746,2.25049,2.91907,499893,572520,484437,564098
