20.8.1.16. Minimálbér, közfoglalkoztatotti bérminimum, garantált bérminimum (Archív tábla, nem frissül tovább.);;;;
Idõpont;A minimálbér havi összege, Ft;A minimálbér a bruttó átlagkereset %-ában;Garantált bérminimum havi összege, Ft;Közfoglalkoztatotti bérminimum havi összege, Ft
1992. január 1.;8 000;35,8;..;..
1993. február 1.;9 000;33,1;..;..
1994. február 1.;10 500;30,9;..;..
1995. március 1.;12 200;31,4;..;..
1996. február 1.;14 500;31,0;..;..
1997. január 1.;17 000;29,7;..;..
1998. január 1.;19 500;28,8;..;..
1999. január 1.;22 500;29,1;..;..
2000. január 1.;25 500;29,1;..;..
2001. január 1.;40 000;38,6;..;..
2002. január 1.;50 000;40,8;..;..
2003. január 1.;50 000;36,4;..;..
2004. január 1.;53 000;36,4;..;..
2005. január 1.;57 000;36,0;..;..
2006. január 1.;62 500;36,5;65 625;..
2007. január 1.;65 500;35,4;72 050;..
2008. január 1.;69 000;34,7;82 800;..
2009. január 1.;71 500;35,8;87 000;..
2009. július 1.;71 500;35,8;87 500;..
2010. január 1.;73 500;36,3;89 500;..
2011. január 1.;78 000;36,6;94 000;57 000
2012. január 1.;93 000;41,7;108 000;71 800
2013. január 1.;98 000;42,5;114 000;75 500
2014. január 1.;101 500;42,7;118 000;77 300
2015. január 1.;105 000;42,4;122 000;79 155
2016. január 1.;111 000;42,2;129 000;79 155
2017. január 1.;127 500;42,9;161 000;81 530
2018. január 1.;138 000;41,8;180 500;81 530
2019. január 1.;149 000;40,5;195 000;81 530
2020. január 1.;161 000;39,9;210 600;81 530
2021. február 1.;167 400;38,1;219 000;81 530
2021. március 1.;167 400;38,1;219 000;85 000
2022. január 1.;200 000;38,8;260 000;100 000
2023. január 1.;232 000;..;296 400;116 000
